mangaId,title,img,latestChapter,rating,src,description,authors
manga-nr990726,Rebirth Of The Immortal Venerable,/mangaimage/manga-nr990726.jpg,Chapter 209,3.83,/manga/manga-nr990726,"Rebirth of the Immortal Venerable summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Rebirth of the Immortal Venerable. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Daxiedao Anime
manga-os991475,"Yowaki Max Reijou Nanoni, Ratsuwan Konyakusha-Sama No Kake Ni Notte Shimatta",/mangaimage/manga-os991475.jpg,Chapter 22,4.77,/manga/manga-os991475,"Reincarnated as a mob villainess! But isn’t there something off about this situation?!I was reincarnated into an otome game as a count’s villainous daughter, Pia. But fearing my fate of banishment from the kingdom, I became extremely timid. After the annulment of my engagement and becoming a curator, the Prime Minister’s son steps forth and I’m thrown into an unexpected plot twist…?!",Oda Hiro
manga-nz990908,Dorei Wo Choukyoushite Harem Tsukuru,/mangaimage/manga-nz990908.jpg,Chapter 50: Training A New Brat,3.76,/manga/manga-nz990908,A MAN purchases three little slaves and begins to groom them into perfect girls for his harem. You will never have a gaggle of lolis with horns in your life. ;_;,Aldehyde
manga-hy985133,Target 1 Billion Points! Open The Ultimate Game Of Second Life!,/mangaimage/manga-hy985133.jpg,Chapter 74,3.89,/manga/manga-hy985133,"Xie Yu kept himself closed because of the death of his friend, immersed in the game world, until one day a mobile game called the ultimate game appeared on his mobile phone, when he learned that the game can achieve all the wishes, even the dead Can be resurrected, with 100 million points as the goal, and the second life of the dead house begins!",炽翊漫画
manga-fb983310,"I Was Reincarnated, And Now I'm A Maid!",/mangaimage/manga-fb983310.jpg,Chapter 89,4.74,/manga/manga-fb983310,"Yulia is reincarnated in a world set before the start of an otome game. She started working as a maid in the castle, but she is serving the princess who appears as a villain in the game! ""I won't let this cute princess become a villain!"" Rumored as a tough, impregnable maid, she herself will make sure to show the princess happiness! She will use her knowledge of her previous life and the life of magic to change the future of the game is what she thought, but for some reason, a knight who showed interest in her appears! Not taking falling in love into consideration, follow this talented maid through her fantasy!",Tanaka Tetete
manga-ml989594,Lan Ke Qi Yuan,/mangaimage/manga-ml989594.jpg,Chapter 203,4.66,/manga/manga-ml989594,"Lan Ke Qi Yuan is a Manga/Manhwa/Manhua in (English/Raw) language, Action series is written by Updating This Comic is About ""Leaves fell on the chess game by the side of Rotten Ke, and the old trees played against each other due to the uninteresting son of Tian Yuan, and then looked back on the vast mountains and seas When he woke up, Ji Yuan became a half-blind beggar in a dilapidated mountain temple. The sword, the sacred stick and one mouth are the foundation for Ji Yuan to settle down in this terrible world.""",阅文漫画
manga-lg988915,Blind Play,/mangaimage/manga-lg988915.jpg,Chapter 92,4.46,/manga/manga-lg988915,"If life's a game, then Ah-in's always been a loser. Growing up in an orphanage left him poor and emotionally scarred, but now he's determined to bypass the rat race and get rich quick. In his job as a gay masseur, Ah-in has a unique selling point: he pretends to be blind, offering his wealthy, powerful clients total confidentiality. One such client is Seo Ilmo, a mystery novelist with a spotless reputation and a dangerous compulsion. And when Ah-in pays a visit to Mr. Seo's apartment for an appointment, a fatal game of cat and mouse begins. This time, however, Ah-in cannot afford to be the loser…Editor's Comment : This comic contains scenes of graphic sexual violence that some readers may find uncomfortable.Notices:this will be a collab between nanami and delicee! please do support the author on lezhin",Yd / Like
manga-ii986243,"It Seems My Lady Is The Villainess With Only A Bad End, So I'm Thinking Of Saving Her",/mangaimage/manga-ii986243.jpg,Chapter 12,4.55,/manga/manga-ii986243,"I'm a character in an otome game?!I'm Vincent, the butler of the Count's daughter. One day, I suddenly remembered that this world is one of an otome game that I played in my previous life. Furthermore, I remembered that the lady I adore will die a violent death as the villainess! Huh? Don't mess with me! I'll destroy my lady's destruction flag!! As her loving butler (and a capture target), I'll do everything I can to help my lady avoid her bad end.This is an intense isekai reincarnation comedy!",Komori Kiri
manga-su951803,Boku Girl,/mangaimage/manga-su951803.jpg,Chapter 107.5 : Bonus: My Lunch-Box,4.78,/manga/manga-su951803,"Mizuki gets confessed to by a boy in front of a special Mirror. Legend has it, that if you confess to someone you like in front of that mirror your wish comes true! There is a slight Problem in this Equation: Mizuki is just a very feminine looking boy. Also it seems that he caught the Attention of the Norse Trickster God Loki while glancing into the Mirror. Loki decides out of boredom to mess with Mizuki and turns him into a real Girl. Hijinks ensue...",Sugito Akira
manga-be956713,Sankarea,/mangaimage/manga-be956713.jpg,Vol.11 Chapter 56.5: Extra: Sankarea If,4.74,/manga/manga-be956713,"Chihiro Furuya is a male high-school student having a keen fascination with zombies, collection zombie-associated videogames, movie and manga, and even to the idea of wanting to ""kiss a zombie girl"". After the departure of his pet cat, Babu, he tries to resurrect an old manuscript, which describes the procedure for making a potion for resurrection being used by it. Only at that time, he sees a girl named Rea Sanka, who has runaway at home. In a effort to commit suicide, she drinks an example of the ""resurrection"" potion that is made in the toxic Hydrangea macrophylla bloom, even though this fails to eliminate her. Following a disagreement with her dad, she dies and falls from a cliff by accident. Nevertheless, as an effect of the potion, she becomes. The storyline follows the existence of Chihiro and his new 'zombie girl-friend'.",Hattori Mitsuru
